id,simple_id,chapter_id,title_en,title_ja,title_mn,order_number,created_at,updated_at,audio_url,completed
00806d75-8134-4e04-b4e6-100059f6dc21,C11L03,81864534-43b2-4a62-a6da-7ecc381b25a1,Society,社会,Нийгэм,3,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
0095b87b-d0d8-4b53-9c74-cd8fa00c23f4,C12L02,2f6709bb-3ec5-48c9-ad7f-8ac8e9e0ba8a,Feeling Good,いい気分,Сайхан сэтгэл,2,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
0502202f-9c7d-4968-8bce-838fc9e4fa7a,C09L02,f1e24f1b-c12e-4f0f-a0e1-2781cc450b1c,Commerce,商業,Худалдаа,2,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
0befb5b8-627d-40d9-97cf-6c784114b2b7,C05L01,7632dfc0-74fe-42a2-9728-7f821d381ab4,Job Interview,就職面接,Ажлын ярилцлага,1,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,https://www.dropbox.com/scl/fi/y1z2a3b4c5d6e7f8g9h0/021.mp3?raw=1,false
1481d919-d023-47b7-91c7-baab70e068a2,C09L04,f1e24f1b-c12e-4f0f-a0e1-2781cc450b1c,Literature,文学,Уран зохиол,4,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
1c8d4a95-c085-4a98-ae47-fbd7adec52a9,C06L01,ee81ee46-fa82-4937-ba27-a541a39e1bb3,City,都市,Хот,1,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
1d10a05a-f114-4e9d-aecf-adfad968bb94,C06L02,ee81ee46-fa82-4937-ba27-a541a39e1bb3,Transportation,交通,Тээвэр,2,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
211feb2e-faa4-4eb2-98ac-05650dae1dc5,C06L05,ee81ee46-fa82-4937-ba27-a541a39e1bb3,School,学校,Сургууль,5,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
266fde35-ac80-4a78-a85b-06421f073daf,C01L03,9a91a9ab-aeed-44c9-bbed-9223acee66ed,Acquaintances,知り合い,Танилууд,3,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,https://www.dropbox.com/scl/fi/7dpklqj4equw585s9e1lt/003.mp3?raw=1,false
2abf0f07-8369-4b6f-9c74-20ff182cbdb3,C14L04,eb46ee1b-60ba-44f8-a893-61a606384909,Words with Various Meanings 1,いろいろな意味を持つ言葉①,Олон утгатай үг 1,4,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
2f9ceaac-6679-47be-8db1-59c3f57949a8,C10L02,992d693b-0818-40df-818f-3fd89095253f,Computer,コンピュータ,Компьютер,2,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
345e526a-49f0-4d8f-b6b8-8bb2f8e71fd3,C01L04,9a91a9ab-aeed-44c9-bbed-9223acee66ed,Lover,恋人,Хайртай хүн,4,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,https://www.dropbox.com/scl/fi/qw2p8j3k5m6n7r8t9y0x/004.mp3?raw=1,false
39a88a52-dbd8-4d8a-a383-76050eb7f9e6,C07L03,719dcb8c-d605-4a16-ace3-c2dceca079b4,Medicine,薬,Эм,3,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
40499558-4cf4-440d-8613-45c04c72dce5,C12L04,2f6709bb-3ec5-48c9-ad7f-8ac8e9e0ba8a,Positive Image,プラスのイメージ,Эерэг дүр зураг,4,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
4ba4172f-b2c7-4ef0-b1ac-533d1c0db0ca,C02L01,434088a6-50ff-4e92-b150-a52585aeac65,Housing,住まい,Орон байр,1,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,https://www.dropbox.com/scl/fi/k9l8m7n6p5o4q3r2s1t0/006.mp3?raw=1,false
4c6976ef-bf52-4175-be01-67b81adcf92c,C13L04,ff669652-81ba-47ad-9838-a628b96819b1,Confusing Words 1,まぎらわしい言葉①,Төөрөлдүүлэх үг 1,4,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
4e35c101-f7d0-401a-a363-b7a0683b2778,C12L01,2f6709bb-3ec5-48c9-ad7f-8ac8e9e0ba8a,Personality,性格,Зан байдал,1,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
4e8e7273-45f5-4feb-81ea-964572739464,C13L05,ff669652-81ba-47ad-9838-a628b96819b1,Confusing Words 2,まぎらわしい言葉②,Төөрөлдүүлэх үг 2,5,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
505333b1-7e8a-47e8-917a-787997ed085f,C08L05,331a6951-f9fd-4458-a47a-491f1c96c382,Eco-friendly,環境に優しい,Байгальд ээлтэй,5,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
5ae836e1-b95e-4ea6-aa6f-173a45ae71c4,C14L02,eb46ee1b-60ba-44f8-a893-61a606384909,Idioms: Body,使用句：体,Хэллэг: Бие махбод,2,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
672afe3a-cad9-4b2d-975e-0b4f4774ffbe,C08L04,331a6951-f9fd-4458-a47a-491f1c96c382,Air Pollution,大気汚染,Агаарын бохирдол,4,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
6af3460a-ba4b-4d4a-a9ce-7813bfd9522f,C07L01,719dcb8c-d605-4a16-ace3-c2dceca079b4,Health,健康,Эрүүл мэнд,1,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
702c6c63-592e-4330-9fd6-47f6c8ed3fe2,C05L05,7632dfc0-74fe-42a2-9728-7f821d381ab4,Working Hours,労働時間,Ажлын цаг,5,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,https://www.dropbox.com/scl/fi/m1n2o3p4q5r6s7t8u9v0/025.mp3?raw=1,false
73f51729-f28a-418c-91ea-dba357a7abe7,C03L03,bf327753-17e0-4681-a7bf-555aefdf01f7,Cooking,料理,Хоол хийх,3,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,https://www.dropbox.com/scl/fi/c9d8e7f6g5h4i3j2k1l0/013.mp3?raw=1,false
769d63cb-e4d5-47d2-9b96-f23c4935414c,C08L01,331a6951-f9fd-4458-a47a-491f1c96c382,Nature,自然,Байгаль,1,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
7b5f158e-136b-4312-a9ec-8ee4afedad00,C13L01,ff669652-81ba-47ad-9838-a628b96819b1,Adverb 1,副詞①,Дайвар үг 1,1,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
7bd4737a-5a98-4dc3-ac6b-ea493cfc2326,C09L05,f1e24f1b-c12e-4f0f-a0e1-2781cc450b1c,Art,芸術,Уран сайхан,5,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
7c8c7280-bf94-4791-9b23-5f8305438541,C07L04,719dcb8c-d605-4a16-ace3-c2dceca079b4,Health Insurance,健康保険,Эрүүл мэндийн даатгал,4,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
7cedd71f-b5a0-426b-88fb-94bc7ade6185,C07L02,719dcb8c-d605-4a16-ace3-c2dceca079b4,Doctor,医者,Эмч,2,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
7fc06800-3efd-443c-9fb3-a0df2e41ba48,C07L05,719dcb8c-d605-4a16-ace3-c2dceca079b4,Healthy Living,健康生活,Эрүүл амьдрал,5,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
8255544f-5495-4ade-b921-0ba93af501e2,C04L02,ff5e78c8-47bb-45e4-b298-a78f597ecde4,Studying,勉強,Хичээл хийх,2,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,https://www.dropbox.com/scl/fi/k1l2m3n4o5p6q7r8s9t0/017.mp3?raw=1,false
83e2344e-9b51-4b11-9e6b-7b3f75843afc,C08L02,331a6951-f9fd-4458-a47a-491f1c96c382,Environmental Protection,環境保護,Байгаль хамгаалах,2,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
847e291d-af07-464d-9d15-955823d5030c,C05L03,7632dfc0-74fe-42a2-9728-7f821d381ab4,Regular Job,常勤職,Тогтмол ажил,3,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,https://www.dropbox.com/scl/fi/s1t2u3v4w5x6y7z8a9b0/023.mp3?raw=1,false
84854668-fa0a-46bd-a920-cc0733ca5ada,C10L01,992d693b-0818-40df-818f-3fd89095253f,Technology,テクノロジー,Технологи,1,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
85a7e180-d44e-45d7-8a11-f1f9a5ecdd70,C02L02,434088a6-50ff-4e92-b150-a52585aeac65,Food,食事,Хоол хүнс,2,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,https://www.dropbox.com/scl/fi/u1v2w3x4y5z6a7b8c9d0/007.mp3?raw=1,false
87aebbb4-3e07-475e-aba8-14158d4e23f6,C10L03,992d693b-0818-40df-818f-3fd89095253f,Internet,インターネット,Интернэт,3,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
87ccc3d6-cdff-4e8b-8042-f75458c95583,C08L03,331a6951-f9fd-4458-a47a-491f1c96c382,Clean Water,清水,Цэвэр ус,3,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
8a175244-3aa1-4ead-9b92-7c11b7210da9,C13L02,ff669652-81ba-47ad-9838-a628b96819b1,Adverb 2,副詞②,Дайвар үг 2,2,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
90f84c4e-98ee-41fd-9cce-f7577115dae3,C14L05,eb46ee1b-60ba-44f8-a893-61a606384909,Words with Various Meanings 2,いろいろな意味を持つ言葉②,Олон утгатай үг 2,5,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
931c7fb5-e0c3-4a21-a64b-916bf58c2787,C06L04,ee81ee46-fa82-4937-ba27-a541a39e1bb3,Public Park,公園,Нийтийн газар,4,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
98fd16f0-93c3-490b-89ae-ce7de6d637ac,C05L02,7632dfc0-74fe-42a2-9728-7f821d381ab4,Workplace,職場,Ажлын байр,2,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,https://www.dropbox.com/scl/fi/i1j2k3l4m5n6o7p8q9r0/022.mp3?raw=1,false
9cebe825-a9f1-4f01-aa1f-00d8bed57075,C09L01,f1e24f1b-c12e-4f0f-a0e1-2781cc450b1c,Culture,文化,Соёл,1,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
9d446a74-9bcc-46bc-8621-2d54ec6086af,C02L04,434088a6-50ff-4e92-b150-a52585aeac65,Daily Routine,日課,Өдрийн төлөвлөгөө,4,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,https://www.dropbox.com/scl/fi/o9p8q7r6s5t4u3v2w1x0/009.mp3?raw=1,false
a394b6cb-8b95-4c62-8a51-a4cbf0ac8106,C03L04,bf327753-17e0-4681-a7bf-555aefdf01f7,Holiday,休日,Амралт,4,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,https://www.dropbox.com/scl/fi/m0n1o2p3q4r5s6t7u8v9/014.mp3?raw=1,false
a7eaf750-b84e-447d-b368-9db06da6bcc5,C03L02,bf327753-17e0-4681-a7bf-555aefdf01f7,House Chores,家事,Гэрийн ажил,2,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,https://www.dropbox.com/scl/fi/s0t1u2v3w4x5y6z7a8b9/012.mp3?raw=1,false
ad943560-292c-4df9-b552-f080eb29300f,C14L01,eb46ee1b-60ba-44f8-a893-61a606384909,Idioms: Face,使用句：顔,Хэллэг: Нүүр царай,1,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
aeee3dfc-51e4-4f32-976d-a9975373b4c8,C01L02,9a91a9ab-aeed-44c9-bbed-9223acee66ed,Friends,友人,Найзууд,2,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,https://www.dropbox.com/scl/fi/h10psjeiyvrnc8aq1fbzb/002.mp3?raw=1,false
b18c660f-2585-425c-b5d2-cb7f45ed025c,C03L01,bf327753-17e0-4681-a7bf-555aefdf01f7,Residence,住まい,Орон сууц,1,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,https://www.dropbox.com/scl/fi/i9j8k7l6m5n4o3p2q1r0/011.mp3?raw=1,false
b7064eea-e73c-4045-aea3-b08ac5c63ab9,C12L03,2f6709bb-3ec5-48c9-ad7f-8ac8e9e0ba8a,Feeling Down,ブルーな気分,Бухимдал,3,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
b9bb74ac-fc5e-43be-a199-3be9602e177c,C01L01,9a91a9ab-aeed-44c9-bbed-9223acee66ed,Family,家族,Гэр бүл,1,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,https://www.dropbox.com/scl/fi/vyfoxefnujb3xobsk8ti3/001.mp3?raw=1,false
ba41efc5-f175-4a48-87c9-bad851247842,C04L03,ff5e78c8-47bb-45e4-b298-a78f597ecde4,Exam,試験,Шалгалт,3,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,https://www.dropbox.com/scl/fi/u1v2w3x4y5z6a7b8c9d0/018.mp3?raw=1,false
c1d09a3c-6194-4004-86c1-78cc2fe5bf87,C12L05,2f6709bb-3ec5-48c9-ad7f-8ac8e9e0ba8a,Negative Image,マイナスのイメージ,Сөрөг дүр зураг,5,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
c5b42bf9-a63f-48b7-8939-a88809d320ca,C10L05,992d693b-0818-40df-818f-3fd89095253f,Smartphone,スマホ,Гар утас,5,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
c7d8e073-cbf4-4c39-b2c0-8d23834be7c0,C05L04,7632dfc0-74fe-42a2-9728-7f821d381ab4,Responsibility,責任,Хариуцлага,4,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,https://www.dropbox.com/scl/fi/c1d2e3f4g5h6i7j8k9l0/024.mp3?raw=1,false
c9e33762-64df-49f0-a95e-ba73bf8d089e,C11L05,81864534-43b2-4a62-a6da-7ecc381b25a1,Economics,経済,Эдийн засаг,5,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
ccea6a88-986b-4c11-acab-83de43b57fb1,C04L04,ff5e78c8-47bb-45e4-b298-a78f597ecde4,Higher Education,進学,Дээд боловсрол,4,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,https://www.dropbox.com/scl/fi/e1f2g3h4i5j6k7l8m9n0/019.mp3?raw=1,false
cd2f2824-bc2c-4520-94f2-310e23e61ea9,C02L03,434088a6-50ff-4e92-b150-a52585aeac65,Cooking,料理,Хоол хийх,3,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,https://www.dropbox.com/scl/fi/e0f1g2h3i4j5k6l7m8n9/008.mp3?raw=1,false
d088384c-1811-43c9-8514-c18c1cd2c69a,C11L01,81864534-43b2-4a62-a6da-7ecc381b25a1,Accidents,事故,Осол,1,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
d25341cc-5fe1-409d-a8d8-ce6f208ed70c,C14L03,eb46ee1b-60ba-44f8-a893-61a606384909,Idioms: Miscellaneous,使用句：その他,Хэллэг: Бусад,3,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
d67a43fd-ac8e-42a1-82f8-9f78e3bf5898,C11L02,81864534-43b2-4a62-a6da-7ecc381b25a1,Incidents,事件,Хэрэг явдал,2,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
d8d1f48a-ddfe-4859-ab3b-6ead894c1fb5,C04L01,ff5e78c8-47bb-45e4-b298-a78f597ecde4,School,学校,Сургууль,1,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,https://www.dropbox.com/scl/fi/a1b2c3d4e5f6g7h8i9j0/016.mp3?raw=1,false
dbae3d05-1eff-47c3-baa8-97736b2e721f,C13L03,ff669652-81ba-47ad-9838-a628b96819b1,Adverb and Others,副詞・その他,Дайвар үг ба бусад,3,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
e1ac6992-1af2-4e67-8712-97e592ad7b12,C03L05,bf327753-17e0-4681-a7bf-555aefdf01f7,Moving,引っ越し,Шинэ байр,5,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,https://www.dropbox.com/scl/fi/w9x8y7z6a5b4c3d2e1f0/015.mp3?raw=1,false
e76c3aa9-5fb1-42d1-8ec3-f2f6fdda54cb,C04L05,ff5e78c8-47bb-45e4-b298-a78f597ecde4,Technology,パソコン・スマホ,Технологи,5,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,https://www.dropbox.com/scl/fi/o1p2q3r4s5t6u7v8w9x0/020.mp3?raw=1,false
e8c85cc1-45c6-45de-90f5-fbdabc368845,C09L03,f1e24f1b-c12e-4f0f-a0e1-2781cc450b1c,Business Etiquette,ビジネスマナー,Худалдааны ёс зүй,3,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
e99412fb-9db1-4ce7-9b6a-d4f081427d85,C11L04,81864534-43b2-4a62-a6da-7ecc381b25a1,Politics,政治,Улс төр,4,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
ec148ee4-6891-4e4e-a7fc-fc662d515233,C01L05,9a91a9ab-aeed-44c9-bbed-9223acee66ed,Various Relationships,いろいろな関係,Олон төрлийн харилцаа,5,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,https://www.dropbox.com/scl/fi/1a2b3c4d5e6f7g8h9i0j/005.mp3?raw=1,false
ed3b96e2-5464-466d-ad47-b1c0a4582140,C10L04,992d693b-0818-40df-818f-3fd89095253f,Software,ソフトウェア,Програм хангамж,4,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false
ed57b7cf-2a5b-40a7-b984-cd49624cdbf8,C02L05,434088a6-50ff-4e92-b150-a52585aeac65,Words Expressing Time,時を表す言葉,Цаг хугацаа илэрхийлэх үгс,5,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,https://www.dropbox.com/scl/fi/y0z1a2b3c4d5e6f7g8h9/010.mp3?raw=1,false
fb083c92-a992-4318-b09f-7d5fc9aabcc9,C06L03,ee81ee46-fa82-4937-ba27-a541a39e1bb3,Public Services,公共サービス,Нийтийн үйлчилгээ,3,2025-03-23 09:43:38.92522+00,2025-03-23 09:43:38.92522+00,,false