id,simple_id,quiz_id,question,correct_answer,options,order_number,created_at,updated_at
0107dcd3-7554-49f5-9ea7-426592e1c64d,QQ005,76e24e67-5895-446e-b125-ae9aecf67155,国家 үгийн зөв уншлагыг сонгоно уу:,こっか,"[""こっか"",""はな"",""みち"",""かた""]",5,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
017651f9-9533-4322-b9f4-d7aacea67d6f,QQ008,b4c40f03-98e8-4be1-9a28-8b5d26cdb7bb,恋する (こいする) гэдэг үгийн утгыг сонгоно уу:,Дурлах,"[""Дурлах"",""Буруу хариулт 3"",""Буруу хариулт 2"",""Буруу хариулт 1""]",8,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
0223a01b-eff0-4dd9-b778-8a416641624a,QQ003,3ef10029-79d1-4a70-aa63-5db51093d756,機種 үгийн зөв уншлагыг сонгоно уу:,きしゅ,"[""みち"",""はな"",""きしゅ"",""かた""]",3,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
03b334b1-979c-47eb-b597-d79e8f39e218,QQ002,42db9fb9-3fc8-4ffd-a16f-7e388161bc6b,余暇 (よか) гэдэг үгийн утгыг сонгоно уу:,Чөлөөт цаг,"[""Чөлөөт цаг"",""Буруу хариулт 3"",""Буруу хариулт 1"",""Буруу хариулт 2""]",2,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
056b5afc-a2f3-46ef-a483-95a77728934f,QQ007,f758ff3a-4ce2-4c62-8a63-f762f509a2ee,めくる үгийн зөв уншлагыг сонгоно уу:,めくる,"[""めくる"",""はな"",""かた"",""みち""]",7,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
059a9109-f255-4907-a19d-45b19d8fd423,QQ009,102ba681-5927-4562-8748-c1248cb8c596,差し引く (さしひく) гэдэг үгийн утгыг сонгоно уу:,Хасах,"[""Буруу хариулт 3"",""Буруу хариулт 1"",""Хасах"",""Буруу хариулт 2""]",9,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
05e724b9-29db-4e1d-9c0b-f6c07f4e2fcf,QQ004,3ef10029-79d1-4a70-aa63-5db51093d756,創立＜する＞ үгийн зөв уншлагыг сонгоно уу:,そうりつ＜する＞,"[""はな"",""みち"",""そうりつ＜する＞"",""かた""]",4,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
06f1cd25-2886-4b24-a49f-600285577fd8,QQ001,3662b6a0-83cd-4d8a-87c5-71845409ff63,公的な үгийн зөв уншлагыг сонгоно уу:,こうてきな,"[""かた"",""みち"",""こうてきな"",""はな""]",1,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
0758bed1-e23b-4580-b43f-2a18e857c8d7,QQ005,3ef10029-79d1-4a70-aa63-5db51093d756,出題＜する＞ үгийн зөв уншлагыг сонгоно уу:,しゅつだい＜する＞,"[""はな"",""しゅつだい＜する＞"",""みち"",""かた""]",5,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
09288d5c-37b8-4434-b0e5-42167d82aa8f,QQ010,5833f0cd-4f15-4de4-a2ed-184e462ce481,沿線 (えんせん) гэдэг үгийн утгыг сонгоно уу:,Маршрутын дагуу,"[""Маршрутын дагуу"",""Буруу хариулт 3"",""Буруу хариулт 1"",""Буруу хариулт 2""]",10,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
095b8ff2-131d-4158-8d02-b46680267502,QQ010,98c8b668-1855-4657-b50a-abe3b0cefda0,まとまる (まとまる) гэдэг үгийн утгыг сонгоно уу:,Нэгдчих,"[""Буруу хариулт 3"",""Буруу хариулт 1"",""Буруу хариулт 2"",""Нэгдчих""]",10,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
0a1e64bb-8af9-415e-88ba-a36f3fe021c1,QQ003,d1a8f6d8-a5ee-460c-b0eb-109c37e8af4c,てきぱき[と]＜する＞ (てきぱき) гэдэг үгийн утгыг сонгоно уу:,"Хурдан, товчхон","[""Буруу хариулт 1"",""Буруу хариулт 2"",""Буруу хариулт 3"",""Хурдан, товчхон""]",3,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
0b24541c-a689-4895-9af7-d567db0c7e82,QQ010,7e67ec97-0a33-44de-bfbd-76e4de4e1cc3,甘い (あまい) гэдэг үгийн утгыг сонгоно уу:,①Амттай ②Эрхлүүлэх ③Гэнэн,"[""Буруу хариулт 1"",""Буруу хариулт 2"",""Буруу хариулт 3"",""①Амттай ②Эрхлүүлэх ③Гэнэн""]",10,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
0ba27ea0-da04-40c2-955d-e6f676dc0ee1,QQ005,80308881-fc72-435a-90e7-969997aca57a,出題＜する＞ (しゅつだい＜する＞) гэдэг үгийн утгыг сонгоно уу:,Асуулт тавих,"[""Буруу хариулт 2"",""Буруу хариулт 1"",""Асуулт тавих"",""Буруу хариулт 3""]",5,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
0bb7eb65-5f1a-4f36-80c2-5ef8f30c8d1d,QQ002,6202e67c-92af-4d29-b994-a06e81a1aba4,慎む үгийн зөв уншлагыг сонгоно уу:,つつしむ,"[""かた"",""はな"",""つつしむ"",""みち""]",2,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
0d074238-8f40-4b0a-b671-66f17574d714,QQ007,27618a6d-add1-4b6d-a3f7-ba87eb01256e,編む үгийн зөв уншлагыг сонгоно уу:,あむ,"[""あむ"",""はな"",""かた"",""みち""]",7,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
0e4e1120-f3ff-4798-84de-315786a798b8,QQ002,5833f0cd-4f15-4de4-a2ed-184e462ce481,産出＜する＞ (さんしゅつ＜する＞) гэдэг үгийн утгыг сонгоно уу:,Үйлдвэрлэх,"[""Буруу хариулт 2"",""Үйлдвэрлэх"",""Буруу хариулт 1"",""Буруу хариулт 3""]",2,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
0e76ed81-a0bc-4eb3-a1fb-2660da00046d,QQ002,d1a8f6d8-a5ee-460c-b0eb-109c37e8af4c,外観 (がいかん) гэдэг үгийн утгыг сонгоно уу:,Гадаад төрх,"[""Гадаад төрх"",""Буруу хариулт 1"",""Буруу хариулт 3"",""Буруу хариулт 2""]",2,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
10a1fea9-72ea-4a81-a896-b9ad3b33b46b,QQ006,96eba5b0-5839-41b5-a635-c5f15e5678af,縁 үгийн зөв уншлагыг сонгоно уу:,えん,"[""はな"",""えん"",""かた"",""みち""]",6,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
10b8b364-9b17-44c3-b9f7-7ae0e9c42e40,QQ004,23ebd392-a7da-4a8e-a264-65313e45190a,発作 (ほっさ) гэдэг үгийн утгыг сонгоно уу:,Таталт,"[""Таталт"",""Буруу хариулт 3"",""Буруу хариулт 1"",""Буруу хариулт 2""]",4,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
12223109-5761-49a2-b1f5-5f1d76599729,QQ009,3c24c999-d031-4872-a2a7-37d46f7574b6,じっとり[と]＜する＞ (じっとり) гэдэг үгийн утгыг сонгоно уу:,Чийгтэйгээр,"[""Буруу хариулт 1"",""Чийгтэйгээр"",""Буруу хариулт 3"",""Буруу хариулт 2""]",9,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
124953d9-bd53-45ac-9431-fb1f5ba1ed0d,QQ010,b4c40f03-98e8-4be1-9a28-8b5d26cdb7bb,気が置けない (きがおけない) гэдэг үгийн утгыг сонгоно уу:,"Тайван, санаа амар","[""Тайван, санаа амар"",""Буруу хариулт 1"",""Буруу хариулт 2"",""Буруу хариулт 3""]",10,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
1422fe89-15fb-4847-97a6-389bbc430f46,QQ001,42db9fb9-3fc8-4ffd-a16f-7e388161bc6b,警報 (けいほう) гэдэг үгийн утгыг сонгоно уу:,Сэрэмжлүүлэг,"[""Буруу хариулт 2"",""Буруу хариулт 1"",""Сэрэмжлүүлэг"",""Буруу хариулт 3""]",1,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
14897b15-3ed7-4e4f-98d5-00872a09e5b4,QQ010,23ebd392-a7da-4a8e-a264-65313e45190a,がっしり[と]＜する＞ (がっしり) гэдэг үгийн утгыг сонгоно уу:,Бат бөх,"[""Бат бөх"",""Буруу хариулт 1"",""Буруу хариулт 2"",""Буруу хариулт 3""]",10,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
15338ea1-3a4a-4837-b1a6-45415f4eb88e,QQ003,aa20f3c4-079b-40ba-b7a6-6bc2b05ab5d2,てきぱき[と]＜する＞ үгийн зөв уншлагыг сонгоно уу:,てきぱき,"[""はな"",""かた"",""みち"",""てきぱき""]",3,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
15d70ad2-d8af-477d-8c91-ef0e496b48c7,QQ001,3ef10029-79d1-4a70-aa63-5db51093d756,勤勉＜な＞ үгийн зөв уншлагыг сонгоно уу:,きんべん＜な＞,"[""みち"",""きんべん＜な＞"",""はな"",""かた""]",1,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
164b4585-9b05-4b6a-896c-d295fa152ac7,QQ001,e9c4eb36-9e51-4fbf-b390-adc341902d84,肺炎 үгийн зөв уншлагыг сонгоно уу:,はいえん,"[""かた"",""はいえん"",""みち"",""はな""]",1,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
177f6d33-c038-414a-afe7-fc4a65013de5,QQ005,98c8b668-1855-4657-b50a-abe3b0cefda0,手芸 (しゅげい) гэдэг үгийн утгыг сонгоно уу:,Гар урлал,"[""Буруу хариулт 3"",""Буруу хариулт 1"",""Буруу хариулт 2"",""Гар урлал""]",5,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
181359fc-d49d-4ce7-a4bc-9d7c2ff7fb73,QQ008,06e41485-5ce7-4849-b7c5-a44e7b03f363,はかどる (はかどる) гэдэг үгийн утгыг сонгоно уу:,Амжилттай явчих,"[""Амжилттай явчих"",""Буруу хариулт 2"",""Буруу хариулт 3"",""Буруу хариулт 1""]",8,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
18ba94f6-faad-422e-95cb-cc52f8a27444,QQ005,aa20f3c4-079b-40ba-b7a6-6bc2b05ab5d2,くつろぐ үгийн зөв уншлагыг сонгоно уу:,くつろぐ,"[""はな"",""かた"",""みち"",""くつろぐ""]",5,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
1ab4ffa8-0c91-43ab-9e4a-91d08deb76cf,QQ010,93c94fab-0a01-4944-b3ae-4a8b2474bbe1,みずみずしい (みずみずしい) гэдэг үгийн утгыг сонгоно уу:,Шинэхэн,"[""Буруу хариулт 3"",""Буруу хариулт 2"",""Шинэхэн"",""Буруу хариулт 1""]",10,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
1c20289e-6169-4956-80b1-f666ca2cc302,QQ007,5833f0cd-4f15-4de4-a2ed-184e462ce481,住人 (じゅうにん) гэдэг үгийн утгыг сонгоно уу:,Оршин суугч,"[""Буруу хариулт 3"",""Буруу хариулт 2"",""Буруу хариулт 1"",""Оршин суугч""]",7,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
1c36acf4-d146-4bc7-ae47-4f6c5a631b10,QQ008,c7bbaf55-6398-42a2-b5d8-4c15d95767ae,身振り手振り (みぶりてぶり) гэдэг үгийн утгыг сонгоно уу:,Доог зангаа,"[""Доог зангаа"",""Буруу хариулт 3"",""Буруу хариулт 1"",""Буруу хариулт 2""]",8,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
1d4701d7-6903-467c-9dab-6cf38d3a9493,QQ010,42db9fb9-3fc8-4ffd-a16f-7e388161bc6b,暴風雨 (ぼうふうう) гэдэг үгийн утгыг сонгоно уу:,Хүчтэй бороо ба салхи,"[""Буруу хариулт 1"",""Буруу хариулт 3"",""Буруу хариулт 2"",""Хүчтэй бороо ба салхи""]",10,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
1f0800f2-a04a-4dd2-81b8-9a87a80e27e6,QQ001,76e24e67-5895-446e-b125-ae9aecf67155,紛争 үгийн зөв уншлагыг сонгоно уу:,ふんそう,"[""ふんそう"",""みち"",""かた"",""はな""]",1,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
1fbc49cd-de68-4dcf-b43b-eca47ab2ee84,QQ010,c7bbaf55-6398-42a2-b5d8-4c15d95767ae,穴場 (あなば) гэдэг үгийн утгыг сонгоно уу:,Нуугдмал газар,"[""Буруу хариулт 2"",""Нуугдмал газар"",""Буруу хариулт 3"",""Буруу хариулт 1""]",10,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
22195809-52f3-44d6-920a-5589d043d0e5,QQ003,3662b6a0-83cd-4d8a-87c5-71845409ff63,路線 үгийн зөв уншлагыг сонгоно уу:,ろせん,"[""みち"",""かた"",""はな"",""ろせん""]",3,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
25c9031a-4206-443e-8305-1dfe72a0786e,QQ007,6202e67c-92af-4d29-b994-a06e81a1aba4,弊社 үгийн зөв уншлагыг сонгоно уу:,へいしゃ,"[""へいしゃ"",""かた"",""はな"",""みち""]",7,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
2600de23-5eb4-4b9f-a631-8f3bcd887499,QQ004,27618a6d-add1-4b6d-a3f7-ba87eb01256e,フォーマルな үгийн зөв уншлагыг сонгоно уу:,ふぉーまるな,"[""かた"",""ふぉーまるな"",""みち"",""はな""]",4,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
2649ad3c-c1e5-4297-b5a2-9d2bae4a1f51,QQ002,ffb34e2e-66b4-4018-b241-b0ba13d8c750,爽快な үгийн зөв уншлагыг сонгоно уу:,そうかいな,"[""そうかいな"",""かた"",""はな"",""みち""]",2,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
26a0782d-fe76-4d46-bf46-dd5157b62d66,QQ010,102ba681-5927-4562-8748-c1248cb8c596,四六時中 (しろくじちゅう) гэдэг үгийн утгыг сонгоно уу:,"Өдөр шөнөгүй, байнга","[""Өдөр шөнөгүй, байнга"",""Буруу хариулт 1"",""Буруу хариулт 3"",""Буруу хариулт 2""]",10,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
286da15e-2704-43db-a162-b256f2f247b3,QQ008,98c8b668-1855-4657-b50a-abe3b0cefda0,上演＜する＞ (じょうえん＜する＞) гэдэг үгийн утгыг сонгоно уу:,Тоглочих,"[""Буруу хариулт 2"",""Буруу хариулт 1"",""Буруу хариулт 3"",""Тоглочих""]",8,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
291599a5-db20-4e59-996a-abd557d892d1,QQ005,102ba681-5927-4562-8748-c1248cb8c596,味覚 (みかく) гэдэг үгийн утгыг сонгоно уу:,Амтлах мэдрэмж,"[""Амтлах мэдрэмж"",""Буруу хариулт 3"",""Буруу хариулт 1"",""Буруу хариулт 2""]",5,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
291aabf8-69b8-4970-b701-85fb33594e77,QQ007,7e67ec97-0a33-44de-bfbd-76e4de4e1cc3,頭が上がらない (あたまがあがらない) гэдэг үгийн утгыг сонгоно уу:,Толгой өргөж чадахгүй,"[""Толгой өргөж чадахгүй"",""Буруу хариулт 3"",""Буруу хариулт 2"",""Буруу хариулт 1""]",7,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
29fc6bba-cf18-48af-8f4f-5c0a3033d66d,QQ010,c962ec76-43d5-4414-9437-60bf295c12e9,甘い үгийн зөв уншлагыг сонгоно уу:,あまい,"[""みち"",""はな"",""あまい"",""かた""]",10,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
2a93f4b8-92da-4a5f-815f-2fce8259696f,QQ006,06e41485-5ce7-4849-b7c5-a44e7b03f363,キャリア (きゃりあ) гэдэг үгийн утгыг сонгоно уу:,Мэргэжил,"[""Мэргэжил"",""Буруу хариулт 1"",""Буруу хариулт 2"",""Буруу хариулт 3""]",6,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
2add35cc-5267-49d9-ac07-0582d630cbf5,QQ010,76e24e67-5895-446e-b125-ae9aecf67155,穴場 үгийн зөв уншлагыг сонгоно уу:,あなば,"[""はな"",""かた"",""あなば"",""みち""]",10,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
2c480c6f-1976-4bba-b0bb-d210ddff90e9,QQ004,06e41485-5ce7-4849-b7c5-a44e7b03f363,有望な (ゆうぼうな) гэдэг үгийн утгыг сонгоно уу:,Ирээдүйтэй,"[""Буруу хариулт 2"",""Буруу хариулт 3"",""Буруу хариулт 1"",""Ирээдүйтэй""]",4,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
2cb5d557-bc77-48e1-bff4-d3e14dd1aefc,QQ002,96eba5b0-5839-41b5-a635-c5f15e5678af,対人関係 үгийн зөв уншлагыг сонгоно уу:,たいじんかんけい,"[""たいじんかんけい"",""みち"",""かた"",""はな""]",2,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
2e42df7c-284a-4bb1-bbf3-16cdcc76c730,QQ010,27618a6d-add1-4b6d-a3f7-ba87eb01256e,まとまる үгийн зөв уншлагыг сонгоно уу:,まとまる,"[""はな"",""みち"",""まとまる"",""かた""]",10,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
3070f1a6-9cd5-4226-a358-4794cc3cbc2d,QQ005,27618a6d-add1-4b6d-a3f7-ba87eb01256e,手芸 үгийн зөв уншлагыг сонгоно уу:,しゅげい,"[""みち"",""しゅげい"",""はな"",""かた""]",5,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
31434665-0b88-490d-a029-62f5dd958051,QQ008,102ba681-5927-4562-8748-c1248cb8c596,甘口＜な＞ (あまくち＜な＞) гэдэг үгийн утгыг сонгоно уу:,"Амттай, чихэрлэг","[""Буруу хариулт 3"",""Буруу хариулт 1"",""Амттай, чихэрлэг"",""Буруу хариулт 2""]",8,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
33284f76-83f1-4587-81b4-081d11ad1a7a,QQ004,a34b22ea-597b-46ef-9e50-e60d161a063b,治安 үгийн зөв уншлагыг сонгоно уу:,ちあん,"[""ちあん"",""みち"",""かた"",""はな""]",4,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
33592c37-8c9f-45fd-8d0f-96acf19ee324,QQ009,96eba5b0-5839-41b5-a635-c5f15e5678af,一見 үгийн зөв уншлагыг сонгоно уу:,いっけん,"[""みち"",""はな"",""かた"",""いっけん""]",9,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
346db079-a0f4-4105-bba9-7bbe77a37288,QQ002,06e41485-5ce7-4849-b7c5-a44e7b03f363,慎む (つつしむ) гэдэг үгийн утгыг сонгоно уу:,Болгоомжлох/Хязгаарлах,"[""Буруу хариулт 2"",""Болгоомжлох/Хязгаарлах"",""Буруу хариулт 1"",""Буруу хариулт 3""]",2,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
34bc1fa5-627a-4937-b019-cd5f8e171e28,QQ005,7e67ec97-0a33-44de-bfbd-76e4de4e1cc3,頭が切れる (あたまがきれる) гэдэг үгийн утгыг сонгоно уу:,Хурц ухаантай,"[""Буруу хариулт 1"",""Буруу хариулт 2"",""Хурц ухаантай"",""Буруу хариулт 3""]",5,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
34d046ec-0c3d-4da4-b711-fe5c60f29525,QQ004,3c24c999-d031-4872-a2a7-37d46f7574b6,くすくす (くすくす) гэдэг үгийн утгыг сонгоно уу:,Хихих,"[""Хихих"",""Буруу хариулт 2"",""Буруу хариулт 3"",""Буруу хариулт 1""]",4,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
3555cf89-653c-4e9f-af3a-c5b3f598e6ca,QQ001,06e41485-5ce7-4849-b7c5-a44e7b03f363,日系企業 (にっけいきぎょう) гэдэг үгийн утгыг сонгоно уу:,Японы холбоотой компани,"[""Буруу хариулт 2"",""Буруу хариулт 1"",""Японы холбоотой компани"",""Буруу хариулт 3""]",1,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
362d3949-f23e-4aee-a8fd-e53f9a65a0f3,QQ002,98c8b668-1855-4657-b50a-abe3b0cefda0,公開＜する＞ (こうかい＜する＞) гэдэг үгийн утгыг сонгоно уу:,Нээлттэй болгох,"[""Нээлттэй болгох"",""Буруу хариулт 1"",""Буруу хариулт 2"",""Буруу хариулт 3""]",2,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
3764e28d-335f-40c8-b659-b5f0f9b6de0a,QQ005,675a0d1a-bd01-40e3-a952-1b4a4ecbe6fd,いささか үгийн зөв уншлагыг сонгоно уу:,いささか,"[""はな"",""いささか"",""みち"",""かた""]",5,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
376515ee-ac7c-4f86-bb13-c875713159a2,QQ007,06e41485-5ce7-4849-b7c5-a44e7b03f363,弊社 (へいしゃ) гэдэг үгийн утгыг сонгоно уу:,Манай компани,"[""Манай компани"",""Буруу хариулт 3"",""Буруу хариулт 1"",""Буруу хариулт 2""]",7,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
38104f40-22a3-4150-9f41-9fcedb6cec56,QQ008,a34b22ea-597b-46ef-9e50-e60d161a063b,不審＜な＞ үгийн зөв уншлагыг сонгоно уу:,ふしん＜な＞,"[""みち"",""ふしん＜な＞"",""かた"",""はな""]",8,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
394182a7-0b92-4d34-928a-45dafb538014,QQ005,3c24c999-d031-4872-a2a7-37d46f7574b6,いささか (いささか) гэдэг үгийн утгыг сонгоно уу:,Бага зэрэг,"[""Бага зэрэг"",""Буруу хариулт 1"",""Буруу хариулт 3"",""Буруу хариулт 2""]",5,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
3bdac1c6-159b-4ccc-a100-adedf8e0541e,QQ006,c962ec76-43d5-4414-9437-60bf295c12e9,息が切れる үгийн зөв уншлагыг сонгоно уу:,いきがきれる,"[""いきがきれる"",""みち"",""はな"",""かた""]",6,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
3d219c44-bffa-4eb1-83bf-8b5c7b555993,QQ006,e9c4eb36-9e51-4fbf-b390-adc341902d84,全身 үгийн зөв уншлагыг сонгоно уу:,ぜんしん,"[""ぜんしん"",""はな"",""みち"",""かた""]",6,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
3dbe5c13-e77a-433f-ba64-9af01a80ecd8,QQ005,8961678e-47b3-431c-92b1-dcf7d98f0586,衝突＜する＞ (しょうとつ＜する＞) гэдэг үгийн утгыг сонгоно уу:,Мөргөлдчих,"[""Буруу хариулт 1"",""Мөргөлдчих"",""Буруу хариулт 2"",""Буруу хариулт 3""]",5,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
3e6bc527-dcb7-40e0-b5ff-1de0e51ab79a,QQ006,98c8b668-1855-4657-b50a-abe3b0cefda0,ベストセラー (べすとせらー) гэдэг үгийн утгыг сонгоно уу:,Хамгийн их борлуулалттай,"[""Буруу хариулт 1"",""Буруу хариулт 2"",""Буруу хариулт 3"",""Хамгийн их борлуулалттай""]",6,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
3e709eb2-853f-4612-b714-cdc7a4357af9,QQ003,42db9fb9-3fc8-4ffd-a16f-7e388161bc6b,果てしない (はてしない) гэдэг үгийн утгыг сонгоно уу:,Хязгааргүй,"[""Хязгааргүй"",""Буруу хариулт 1"",""Буруу хариулт 3"",""Буруу хариулт 2""]",3,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
3ef311cb-1ae5-45b4-8674-62992323acbb,QQ005,96eba5b0-5839-41b5-a635-c5f15e5678af,かけがえのない үгийн зөв уншлагыг сонгоно уу:,,"[""みち"",""かた"","""",""はな""]",5,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
3f574a6f-076f-4e85-9c67-1f6e12d09f80,QQ004,f758ff3a-4ce2-4c62-8a63-f762f509a2ee,心掛ける үгийн зөв уншлагыг сонгоно уу:,こころがける,"[""かた"",""はな"",""こころがける"",""みち""]",4,2025-03-24 02:24:14.924815+00,2025-03-24 02:24:14.924815+00
